Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes,aStart,aEnd,timeToStart,timeToEnd
feed,2021-08-20T23:02Z,2021-08-20T23:22Z,00:20,00:10R,breast,00:10L,,2021-08-20T14:02Z,2021-08-20T14:22Z,23.033333333333335,23.366666666666667
feed,2021-08-21T20:38Z,2021-08-21T21:25Z,00:46,00:16R,breast,00:30L,,2021-08-21T11:38Z,2021-08-21T12:25Z,20.633333333333333,21.416666666666668
sleep,2021-08-21T21:25Z,2021-08-21T21:43Z,,,,,,2021-08-21T12:25Z,2021-08-21T12:43Z,21.416666666666668,21.716666666666665
feed,2021-08-21T21:43Z,2021-08-21T22:00Z,00:17,,breast,00:17L,,2021-08-21T12:43Z,2021-08-21T13:00Z,21.716666666666665,22
sleep,2021-08-21T22:00Z,2021-08-22T00:12Z,,,,,,2021-08-21T13:00Z,2021-08-21T15:12Z,22,24.2
feed,2021-08-22T00:12Z,2021-08-22T00:59Z,00:47,00:25R,breast,00:21L,,2021-08-21T15:12Z,2021-08-21T15:59Z,24.2,24.983333333333334
sleep,2021-08-22T00:59Z,2021-08-22T02:36Z,,,,,,2021-08-21T15:59Z,2021-08-21T17:36Z,24.983333333333334,26.6
feed,2021-08-22T02:36Z,2021-08-22T02:52Z,00:16,00:16R,breast,,,2021-08-21T17:36Z,2021-08-21T17:52Z,26.6,26.866666666666667
feed,2021-08-22T02:52Z,2021-08-22T04:18Z,01:25,00:26R,breast,00:59L,,2021-08-21T17:52Z,2021-08-21T19:18Z,26.866666666666667,28.3
sleep,2021-08-22T02:52Z,2021-08-22T02:52Z,,,,,,2021-08-21T17:52Z,2021-08-21T17:52Z,26.866666666666667,26.866666666666667
sleep,2021-08-22T04:18Z,2021-08-22T04:39Z,,,,,,2021-08-21T19:18Z,2021-08-21T19:39Z,28.3,28.65
feed,2021-08-22T04:39Z,2021-08-22T05:11Z,00:31,00:10R,breast,00:21L,,2021-08-21T19:39Z,2021-08-21T20:11Z,28.65,29.183333333333334
sleep,2021-08-22T05:11Z,2021-08-22T05:23Z,,,,,,2021-08-21T20:11Z,2021-08-21T20:23Z,29.183333333333334,29.383333333333333
feed,2021-08-22T05:23Z,2021-08-22T05:37Z,00:14,00:14R,breast,,,2021-08-21T20:23Z,2021-08-21T20:37Z,29.383333333333333,29.616666666666667
sleep,2021-08-22T05:37Z,2021-08-22T05:44Z,,,,,,2021-08-21T20:37Z,2021-08-21T20:44Z,29.616666666666667,29.733333333333334
feed,2021-08-22T05:44Z,2021-08-22T06:09Z,00:25,,breast,00:25L,,2021-08-21T20:44Z,2021-08-21T21:09Z,29.733333333333334,30.15
sleep,2021-08-22T06:09Z,2021-08-22T07:07Z,,,,,,2021-08-21T21:09Z,2021-08-21T22:07Z,30.15,31.116666666666667
feed,2021-08-22T07:07Z,2021-08-22T07:18Z,00:11,,breast,00:11L,,2021-08-21T22:07Z,2021-08-21T22:18Z,31.116666666666667,31.3
sleep,2021-08-22T07:18Z,2021-08-22T12:24Z,,,,,,2021-08-21T22:18Z,2021-08-22T03:24Z,31.3,36.4
sleep,2021-08-22T19:12Z,2021-08-22T19:37Z,,,,,,2021-08-22T10:12Z,2021-08-22T10:37Z,19.2,19.616666666666667
feed,2021-08-22T19:37Z,2021-08-22T20:54Z,01:16,01:16R,breast,,,2021-08-22T10:37Z,2021-08-22T11:54Z,19.616666666666667,20.9
sleep,2021-08-22T20:54Z,2021-08-22T23:42Z,,,,,,2021-08-22T11:54Z,2021-08-22T14:42Z,20.9,23.7
feed,2021-08-22T23:42Z,2021-08-23T00:42Z,01:00,00:28R,breast,00:31L,,2021-08-22T14:42Z,2021-08-22T15:42Z,23.7,24.7
feed,2021-08-23T00:38Z,2021-08-23T00:55Z,00:16,00:16R,breast,,,2021-08-22T15:38Z,2021-08-22T15:55Z,24.633333333333333,24.916666666666668
sleep,2021-08-23T00:42Z,2021-08-23T00:38Z,,,,,,2021-08-22T15:42Z,2021-08-22T15:38Z,24.7,24.633333333333333
sleep,2021-08-23T00:55Z,2021-08-23T02:16Z,,,,,,2021-08-22T15:55Z,2021-08-22T17:16Z,24.916666666666668,26.266666666666666
feed,2021-08-23T02:16Z,2021-08-23T02:51Z,00:35,,breast,00:35L,,2021-08-22T17:16Z,2021-08-22T17:51Z,26.266666666666666,26.85
sleep,2021-08-23T02:51Z,2021-08-23T03:34Z,,,,,,2021-08-22T17:51Z,2021-08-22T18:34Z,26.85,27.566666666666666
feed,2021-08-23T03:34Z,2021-08-23T03:58Z,00:23,,breast,00:23L,,2021-08-22T18:34Z,2021-08-22T18:58Z,27.566666666666666,27.966666666666665
sleep,2021-08-23T03:58Z,2021-08-23T04:01Z,,,,,,2021-08-22T18:58Z,2021-08-22T19:01Z,27.966666666666665,28.016666666666666
feed,2021-08-23T04:01Z,2021-08-23T05:21Z,01:20,01:20R,breast,,,2021-08-22T19:01Z,2021-08-22T20:21Z,28.016666666666666,29.35
sleep,2021-08-23T05:21Z,2021-08-23T05:52Z,,,,,,2021-08-22T20:21Z,2021-08-22T20:52Z,29.35,29.866666666666667
feed,2021-08-23T05:52Z,2021-08-23T07:22Z,01:30,00:47R,breast,00:42L,,2021-08-22T20:52Z,2021-08-22T22:22Z,29.866666666666667,31.366666666666667
sleep,2021-08-23T07:22Z,2021-08-23T10:57Z,,,,,,2021-08-22T22:22Z,2021-08-23T01:57Z,31.366666666666667,34.95
feed,2021-08-23T19:41Z,2021-08-23T20:33Z,00:51,,breast,00:51L,,2021-08-23T10:41Z,2021-08-23T11:33Z,19.683333333333334,20.55
sleep,2021-08-23T20:33Z,2021-08-23T20:59Z,,,,,,2021-08-23T11:33Z,2021-08-23T11:59Z,20.55,20.983333333333334
feed,2021-08-23T20:59Z,2021-08-23T21:18Z,00:19,00:19R,breast,,,2021-08-23T11:59Z,2021-08-23T12:18Z,20.983333333333334,21.3
sleep,2021-08-23T21:18Z,2021-08-23T21:30Z,,,,,,2021-08-23T12:18Z,2021-08-23T12:30Z,21.3,21.5
feed,2021-08-23T21:30Z,2021-08-23T22:25Z,00:55,00:38R,breast,00:16L,,2021-08-23T12:30Z,2021-08-23T13:25Z,21.5,22.416666666666668
sleep,2021-08-23T22:25Z,2021-08-23T23:01Z,,,,,,2021-08-23T13:25Z,2021-08-23T14:01Z,22.416666666666668,23.016666666666666
